證券代碼	年月日	當日均價(元)	當日成交量
006208 富邦台50	20190102	41.3801	58.933
0050 元大台灣50	20190102	74.5548	8532.07
0050 元大台灣50	20190103	73.5125	13347.1
006208 富邦台50	20190103	40.784	46.301
0050 元大台灣50	20190104	72.33	21292.5
006208 富邦台50	20190104	40.0838	79.625
006208 富邦台50	20190107	40.9756	156.258
0050 元大台灣50	20190107	73.7605	14605.6
0050 元大台灣50	20190108	73.7155	11006.7
006208 富邦台50	20190108	40.9092	42.328
0050 元大台灣50	20190109	74.8233	11430.5
006208 富邦台50	20190109	41.6377	40.572
006208 富邦台50	20190110	41.5425	41.339
0050 元大台灣50	20190110	74.7136	2823.28
0050 元大台灣50	20190111	75.4808	10362.9
006208 富邦台50	20190111	41.926	45.297
0050 元大台灣50	20190114	75.0235	5298.4
006208 富邦台50	20190114	41.6161	44.521
0050 元大台灣50	20190115	75.5536	11836.5
006208 富邦台50	20190115	42.0009	52.887
0050 元大台灣50	20190116	75.5818	15342.5
006208 富邦台50	20190116	42.0475	116.716
0050 元大台灣50	20190117	75.5311	10020.7
006208 富邦台50	20190117	42.1592	48.588
0050 元大台灣50	20190118	75.8883	8293.49
006208 富邦台50	20190118	42.2217	49.936
006208 富邦台50	20190121	42.6079	55.321
0050 元大台灣50	20190121	76.5129	10454.8
006208 富邦台50	20190122	42.4599	44.303
0050 元大台灣50	20190122	73.9698	8838.93
0050 元大台灣50	20190123	73.778	6407.44
006208 富邦台50	20190123	42.3172	43.298
006208 富邦台50	20190124	42.4735	51.668
0050 元大台灣50	20190124	73.9416	3500.51
0050 元大台灣50	20190125	74.8713	7320.78
006208 富邦台50	20190125	42.7928	46.025
0050 元大台灣50	20190128	75.2427	3825.14
006208 富邦台50	20190128	43.0252	117.971
006208 富邦台50	20190129	42.6356	47.44
0050 元大台灣50	20190129	74.3618	4419.79
006208 富邦台50	20190130	42.5576	49.992
0050 元大台灣50	20190130	74.3762	5255.23
0050 元大台灣50	20190211	75.2611	6614.9
006208 富邦台50	20190211	43.0506	150.154
0050 元大台灣50	20190212	75.5687	6164.15
006208 富邦台50	20190212	43.1153	51.765
0050 元大台灣50	20190213	75.5691	4157.7
006208 富邦台50	20190213	43.1388	52.421
0050 元大台灣50	20190214	75.4866	3641.54
006208 富邦台50	20190214	43.1541	51.301
0050 元大台灣50	20190215	75.1995	3516.11
006208 富邦台50	20190215	42.9834	51.227
006208 富邦台50	20190218	43.2975	128.316
0050 元大台灣50	20190218	75.7372	6596.16
0050 元大台灣50	20190219	75.576	2862.07
006208 富邦台50	20190219	43.2844	43.875
006208 富邦台50	20190220	43.4815	63.237
0050 元大台灣50	20190220	76.3662	34307.9
006208 富邦台50	20190221	43.8333	81.336
0050 元大台灣50	20190221	76.8179	18664.8
0050 元大台灣50	20190222	76.8025	9881.02
006208 富邦台50	20190222	43.8609	45.493
0050 元大台灣50	20190225	77.5541	19365.4
006208 富邦台50	20190225	44.2304	56.337
0050 元大台灣50	20190226	77.605	15903.1
